id,title,url,source,published_at,snippet,text,canonical_url,domain,normalized_title,dedup_text,source_quality,content_length,allow_hits,deny_hits,relevance,candidate_score,noise_reason,is_candidate,detected_category
a001,Stripe expands Tap to Pay for small merchants across Europe,https://www.finextra.com/newsarticle/stripe-tap-to-pay-europe?utm_source=newsletter,Finextra,2026-05-12,"Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware.","Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware. The publication mentions Stripe and connects the update with payments use cases for banks.",https://finextra.com/newsarticle/stripe-tap-to-pay-europe,finextra.com,stripe expands tap pay small merchants across europe,stripe expands tap pay small merchants across europe stripe is expanding tap pay support small merchants several european markets positioning phones as card acceptance terminals without extra hardware,0.8,410,"['bank', 'card', 'merchant', 'payment', 'payments']",[],4.55,91.0,,True,payments
a002,Stripe rolls out Tap to Pay expansion for European SMEs,https://thepaypers.com/mobile-payments/stripe-expands-tap-to-pay-in-europe,The Paypers,2026-05-11,"Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware.","Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware. The publication mentions Stripe and connects the update with payments use cases for banks.",https://thepaypers.com/mobile-payments/stripe-expands-tap-to-pay-in-europe,thepaypers.com,stripe rolls out tap pay expansion european smes,stripe rolls out tap pay expansion european smes stripe is expanding tap pay support small merchants several european markets positioning phones as card acceptance terminals without extra hardware,0.8,410,"['bank', 'card', 'merchant', 'payment', 'payments', 'sme']",[],5.0,100.0,,True,payments
a003,Stripe Tap to Pay reaches more merchants in Europe,https://www.pymnts.com/stripe-tap-to-pay-europe-rollout,PYMNTS,2026-05-10,"Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware.","Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware. The publication mentions Stripe and connects the update with payments use cases for banks.",https://pymnts.com/stripe-tap-to-pay-europe-rollout,pymnts.com,stripe tap pay reaches more merchants europe,stripe tap pay reaches more merchants europe stripe is expanding tap pay support small merchants several european markets positioning phones as card acceptance terminals without extra hardware,0.8,410,"['bank', 'card', 'merchant', 'payment', 'payments']",[],4.55,91.0,,True,payments
a004,Stripe rolls out Tap to Pay expansion for European SMEs,https://fintechrepost.example/stripe_tap_to_pay?utm_source=telegram,Fintech Repost,2026-05-10,"Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware. The article republishes details from another industry source.","Stripe is expanding Tap to Pay support for small merchants in several European markets, positioning phones as card acceptance terminals without extra hardware.",https://fintechrepost.example/stripe_tap_to_pay,fintechrepost.example,stripe rolls out tap pay expansion european smes,stripe rolls out tap pay expansion european smes stripe is expanding tap pay support small merchants several european markets positioning phones as card acceptance terminals without extra hardware article republishes details from another industry source,0.45,381,"['ai', 'card', 'merchant', 'sme']",[],3.65,73.0,,True,payments
a005,ECB publishes new digital euro wallet prototype findings,https://www.ecb.europa.eu/paym/digital_euro/prototype-findings,ECB,2026-05-11,"The European Central Bank shared findings from digital euro wallet prototype work, including offline payments, privacy controls and commercial bank roles.","The European Central Bank shared findings from digital euro wallet prototype work, including offline payments, privacy controls and commercial bank roles. The publication mentions ECB and connects the update with regulation use cases for banks.",https://ecb.europa.eu/paym/digital_euro/prototype-findings,ecb.europa.eu,ecb publishes new digital euro wallet prototype findings,ecb publishes new digital euro wallet prototype findings european central bank shared findings from digital euro wallet prototype work including offline payments privacy controls commercial bank roles,1.0,399,"['bank', 'digital euro', 'payment', 'payments', 'wallet']",[],4.75,95.0,,True,regulation
a006,ECB updates banks on digital euro wallet prototype,https://www.finextra.com/newsarticle/ecb-digital-euro-wallet-prototype,Finextra,2026-05-10,"The European Central Bank shared findings from digital euro wallet prototype work, including offline payments, privacy controls and commercial bank roles.","The European Central Bank shared findings from digital euro wallet prototype work, including offline payments, privacy controls and commercial bank roles. The publication mentions ECB and connects the update with regulation use cases for banks.",https://finextra.com/newsarticle/ecb-digital-euro-wallet-prototype,finextra.com,ecb updates banks digital euro wallet prototype,ecb updates banks digital euro wallet prototype european central bank shared findings from digital euro wallet prototype work including offline payments privacy controls commercial bank roles,0.8,399,"['bank', 'digital euro', 'payment', 'payments', 'wallet']",[],4.55,91.0,,True,regulation
a007,Visa launches passkey-based checkout pilot for bank cards,https://usa.visa.com/about-visa/newsroom/press-releases/passkey-checkout-pilot.html,Visa,2026-05-10,Visa announced a passkey checkout pilot designed to reduce card-not-present fraud and simplify authentication for issuers and merchants.,Visa announced a passkey checkout pilot designed to reduce card-not-present fraud and simplify authentication for issuers and merchants. The publication mentions Visa and connects the update with fraud_risk use cases for banks.,https://usa.visa.com/about-visa/newsroom/press-releases/passkey-checkout-pilot.html,usa.visa.com,visa launches passkey based checkout pilot bank cards,visa launches passkey based checkout pilot bank cards visa announced passkey checkout pilot designed reduce card not present fraud simplify authentication issuers merchants,0.9,364,"['authentication', 'bank', 'card', 'checkout', 'fraud', 'merchant', 'passkey']",[],5.0,100.0,,True,fraud_risk
a008,Visa pilots passkeys for card checkout authentication,https://www.pymnts.com/visa-passkey-checkout-pilot,PYMNTS,2026-05-09,Visa announced a passkey checkout pilot designed to reduce card-not-present fraud and simplify authentication for issuers and merchants.,Visa announced a passkey checkout pilot designed to reduce card-not-present fraud and simplify authentication for issuers and merchants. The publication mentions Visa and connects the update with fraud_risk use cases for banks.,https://pymnts.com/visa-passkey-checkout-pilot,pymnts.com,visa pilots passkeys card checkout authentication,visa pilots passkeys card checkout authentication visa announced passkey checkout pilot designed reduce card not present fraud simplify authentication issuers merchants,0.8,364,"['authentication', 'bank', 'card', 'checkout', 'fraud', 'merchant', 'passkey']",[],5.0,100.0,,True,fraud_risk
a009,Visa pilots passkeys for card checkout authentication,https://fintechrepost.example/visa_passkeys?utm_source=telegram,Fintech Repost,2026-05-08,Visa announced a passkey checkout pilot designed to reduce card-not-present fraud and simplify authentication for issuers and merchants. The article republishes details from another industry source.,Visa announced a passkey checkout pilot designed to reduce card-not-present fraud and simplify authentication for issuers and merchants.,https://fintechrepost.example/visa_passkeys,fintechrepost.example,visa pilots passkeys card checkout authentication,visa pilots passkeys card checkout authentication visa announced passkey checkout pilot designed reduce card not present fraud simplify authentication issuers merchants article republishes details from another industry source,0.45,335,"['ai', 'authentication', 'card', 'checkout', 'fraud', 'merchant', 'passkey']",[],5.0,100.0,,True,fraud_risk
a010,Revolut adds working capital loans for business banking customers,https://techcrunch.com/2026/05/08/revolut-working-capital-loans,TechCrunch,2026-05-09,"Revolut is introducing working capital loans for business accounts, using account activity and cash-flow data to pre-qualify small companies.","Revolut is introducing working capital loans for business accounts, using account activity and cash-flow data to pre-qualify small companies. The publication mentions Revolut and connects the update with banking_product use cases for banks.",https://techcrunch.com/2026/05/08/revolut-working-capital-loans,techcrunch.com,revolut adds working capital loans business banking customers,revolut adds working capital loans business banking customers revolut is introducing working capital loans business accounts using account activity cash flow data pre qualify small companies,0.7,382,"['account', 'bank', 'banking', 'loan']",[],3.9,78.0,,True,banking_product
